BOM_ID,Category,Item,Specification_or_Project_Requirement,Qty_Status,Selection_Status,Release_Blocker
BOM-019,Power Junction,Main positive junction,J-P01 / X40 insulated high-current distribution,1,DESIGN FROZEN / HARDWARE VERIFY,YES
BOM-020,Ground Junction,Engine/battery negative star,J-P02 / X41 low-resistance star point,1,DESIGN FROZEN / HARDWARE VERIFY,YES
BOM-021,Connectors,OEM CKP connector,Match 32313-01A sensor,1,PHYSICAL PN VERIFY,YES
BOM-022,Connectors,OEM TPS connector,Match 27975-01 TPS,1,PHYSICAL PN VERIFY,YES
BOM-023,Connectors,OEM MAP connector,Match 32416-10 MAP,1,PHYSICAL PN VERIFY,YES
BOM-024,Connectors,OEM ECT connector,Match 32315-01 ECT,1,PHYSICAL PN VERIFY,YES
BOM-025,Connectors,OEM IAT connector,Match 27388-01 IAT,1,PHYSICAL PN VERIFY,YES
BOM-026,Connectors,OEM VSS connector,Match 74402-05B VSS,1,PHYSICAL PN VERIFY,YES
BOM-027,Connectors,Front/rear injector connectors,Match Harley 27772-06 injectors,2,PHYSICAL PN VERIFY,YES
BOM-028,Connectors,Front/rear ignition coil connectors,Match Harley 32477-01A two-terminal coils,2,PHYSICAL PN VERIFY,YES
BOM-029,Sensor,Fuel pressure transducer,5V compatible range to be selected for fuel system,1,SELECT RANGE,YES
BOM-030,Sensor,Engine oil pressure transducer,5V compatible range to be selected for engine oil system,1,SELECT RANGE,YES
BOM-031,Sensor,Post-intercooler IAT sensor,FT550-compatible temperature sensor,1,SELECT SENSOR,YES
BOM-032,Lambda,Dual wideband system,One channel per cylinder with verified FT550 communications path,1 SYSTEM,SELECT HARDWARE,YES
BOM-033,Protection,Heat sleeve / boots,At turbo/exhaust-adjacent branches,TBD,ROUTE DEPENDENT,YES
BOM-034,Protection,Abrasion sleeve / braid,Full harness protection by zone,TBD,ROUTE DEPENDENT,YES
BOM-035,Protection,Grommets/P-clips/strain relief,Secure harness against motion/abrasion,TBD,ROUTE DEPENDENT,YES
BOM-036,Service,Service/CAN connector,X50/X51 service access and CAN junction,1 SET,CONNECTOR FAMILY VERIFY,YES
BOM-037,Labels,Heat-shrink wire IDs / branch labels,All circuits and connector branches,1 SET,DESIGN REQUIREMENT,NO
BOM-038,EPM Ignition Driver,Two-channel passive-coil ignition driver,FuelTech SparkPRO-class or FuelTech-approved equivalent; accepts FT550 A8/A9 and drives two 32477-01A coils,1,ARCHITECTURE FROZEN / EXACT MODEL VERIFY,YES
BOM-039,EPM Ignition Connector,X60 ignition-driver ECU-side connector,Two command channels plus any manufacturer-required reference/power conductors,1,CONNECTOR FAMILY VERIFY,YES
BOM-040,EPM Ignition Connector,X61 ignition-driver coil-side connector,Two driven coil channels with environmental sealing and suitable current rating,1,CONNECTOR FAMILY VERIFY,YES
BOM-041,EPM Injector Junction,X62 injector-interface ECU-side service junction,Accepts FT550 A1/A2 and supports direct-drive bypass or Peak & Hold branch,1,ARCHITECTURE FROZEN / HARDWARE VERIFY,YES
BOM-042,EPM Injector Junction,X63 injector-interface engine-side service junction,Feeds front/rear 27772-06 injector control paths,1,ARCHITECTURE FROZEN / HARDWARE VERIFY,YES
BOM-043,EPM Injector Link,Direct-drive bypass link B36,Removable keyed link X62-to-X63; install only after direct-drive approval,1,DNP UNTIL HC-008/009 CLOSED,YES
BOM-044,EPM Peak Hold,Optional FuelTech-compatible Peak & Hold driver,Required only if measured injector impedance/current demands it,1,DNP / DECISION GATED,YES
BOM-045,EPM Peak Hold Connector,X64 Peak & Hold input connector,From X62 to optional Peak & Hold module,1,DNP / CONNECTOR VERIFY,IF FITTED
BOM-046,EPM Peak Hold Connector,X65 Peak & Hold output connector,From optional Peak & Hold module to X63,1,DNP / CONNECTOR VERIFY,IF FITTED
BOM-047,EPM Power,Injector common +12V branch B39,Protected EPM supply to both 27772-06 injectors; final mm2/fuse by measured current,1 LENGTH,MEASUREMENT GATED,YES
BOM-048,EPM Power,Ignition common +12V branch B40,Protected EPM supply to both 32477-01A coils/driver topology as required; final mm2/fuse by measured current,1 LENGTH,MEASUREMENT GATED,YES
BOM-049,EPM Ground,Ignition-driver power ground B33,Manufacturer-sized low-impedance return to J-P02 power star,1 LENGTH,MEASUREMENT/MANUFACTURER GATED,YES
BOM-050,EPM Service,Injector mode configuration label and build record,State DIRECT_DRIVE_APPROVED or PEAK_HOLD_INSTALLED; never both,1 SET,DESIGN FROZEN,NO
BOM-051,Launch Clutch Switch,OEM VRXSE clutch switch,Harley-Davidson 71620-08,1,FROZEN OEM HARDWARE,NO
BOM-052,Launch Clutch Hardware,OEM clutch switch spring clip,Harley-Davidson 46865-06,1,FROZEN OEM HARDWARE,NO
BOM-053,Launch Connector,X71 OEM clutch switch mating connector,Match 71620-08 and seal for handlebar environment,1,PHYSICAL PN VERIFY,YES
BOM-054,Launch Input,External A6 pull-up network,PMU +5V to A6 with bench-selected resistor; switch pulls signal low to PMU ground,1,VALUE BENCH GATED,YES
BOM-055,Launch Interface,X70 protected solid-state low-side interface,Converts PMU O11 high-side request to ground-active FT550 A21; inactive state high impedance; automotive rated,1,TOPOLOGY FROZEN / EXACT PN VERIFY,YES
BOM-056,Launch Interface Connector,X70 service connector/environmental housing,Control output ground and optional diagnostic access,1,CONNECTOR FAMILY VERIFY,YES
BOM-057,Launch Position Sensor,Optional clutch-position sensor,Non-contact Hall rotary or short-stroke linear ratiometric 5V sensor matched to measured clutch travel,1,DNP / MECHANICAL MOCK-UP GATED,IF FITTED
BOM-058,Launch Position Connector,X72 sealed 3-way clutch-position connector,5V signal ground suitable for steering/lever environment,1,DNP / CONNECTOR VERIFY,IF FITTED
BOM-059,Launch Wire,Two-Step/clutch signal branches B41-B44,0.35mm2 provisional low-current class subject to terminal compatibility and final routing,TBD LENGTH,PROVISIONAL CLASS,YES
BOM-060,Launch Labels,Two-Step/clutch configuration and interface labels,Identify A6 A7 O11 X70 A21 and release state,1 SET,DESIGN REQUIREMENT,NO
