Gate,Check_ID,System,Requirement,Required_State,Evidence_or_Register,Current_State,Blocker,Engineering_Disposition,Approved_By,Date,Notes
HP5,HP5-03,Splices,Final splice schedule released,PASS,Splice schedule,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-04,Dimensions,Final branch-dimension schedule released,PASS,Dimension schedule,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-05,Protection,Final protection schedule released,PASS,Protection decision register,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-06,Terminals,Final connector/terminal/seal schedule released,PASS,Terminal schedule,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-07,Crimp,Tooling and pull-test plan accepted,PASS,Manufacturer DFM return,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-08,CAN_TRIGGER,CAN/CKP/CAM production instructions frozen,PASS,Freeze documents/build traveller,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-09,Thermal,Heat-protection/sleeving schedule frozen,PASS,Manufacturer DFM/as-built schedule,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-10,Identification,Label schedule frozen,PASS,Manufacturer DFM/as-built schedule,OPEN,TBD,PENDING,TBD,TBD,TBD
HP5,HP5-11,Inspection,Pre-cover HP6 requirements in build traveller,PASS,Manufacturer build traveller,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-01,Overall,HP1 complete,HP1_DFM_ACCEPTED,This register,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-02,Overall,HP2 complete,HP2_CONNECTOR_PROCUREMENT_ACCEPTED,This register,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-03,Overall,HP3 complete,HP3_ELECTRICAL_BLOCKERS_CLOSED,This register,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-04,Overall,HP4 complete,HP4_DIMENSIONAL_RELEASED,This register,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-05,Overall,HP5 complete,HP5_CRIMP_RELEASED,This register,OPEN,TBD,PENDING,TBD,TBD,TBD
RELEASE,REL-06,Overall,Functional Rev1 manufacturing release,MANUFACTURING_RELEASED_REV1,Manufacturing release authorisation,NOT_RELEASED,TBD,PENDING,TBD,TBD,Only after REL-01 through REL-05 PASS
