Circuit_ID,System,Function,Source,Source_Cavity,Destination,Destination_Cavity,Wire_mm2,Wire_Spec,Colour_or_Print,Signal_Class,Branch_or_Bundle,Protection,Twist_Shield,Splice_ID,Released_Length_mm,Source_Terminal_PN,Destination_Terminal_PN,Release_State,Notes
INJ-003,INJECTOR,Front injector driver output,X62_OR_PNH,TBD,X63_FRONT,TBD,0.50_BASELINE,TBD,TBD,INJECTOR_DRIVE,INJECTOR_COMMAND,TBD,NONE,NA,TBD,TBD,TBD,EVIDENCE_GATED,Direct vs Peak-and-Hold pending
INJ-004,INJECTOR,Rear injector driver output,X62_OR_PNH,TBD,X63_REAR,TBD,0.50_BASELINE,TBD,TBD,INJECTOR_DRIVE,INJECTOR_COMMAND,TBD,NONE,NA,TBD,TBD,TBD,EVIDENCE_GATED,Direct vs Peak-and-Hold pending
EPM-002,IGNITION,B40 SparkPRO protected supply,J-P01_OR_EPM_DISTRIBUTION,TBD,SPARKPRO_BPLUS,TBD,1.5_BASELINE,TBD,TBD,ENGINE_CRITICAL_POWER,EPM_IGNITION,TBD,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,Final protection after dwell/current evidence
IGN-001,IGNITION,FT550 front ignition command,FT550_A8,A8,SPARKPRO_CH1_IN,TBD,0.50_BASELINE,TBD,TBD,IGNITION_COMMAND,IGNITION_CONTROL,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Channel 1 front
IGN-002,IGNITION,FT550 rear ignition command,FT550_A9,A9,SPARKPRO_CH2_IN,TBD,0.50_BASELINE,TBD,TBD,IGNITION_COMMAND,IGNITION_CONTROL,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Channel 2 rear
IGN-003,IGNITION,SparkPRO front coil output,SPARKPRO_CH1_OUT,TBD,X21_FRONT_COIL,TBD,1.0_BASELINE,TBD,TBD,COIL_PRIMARY,IGNITION_OUTPUT,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Exact OEM connector pending physical ID
IGN-004,IGNITION,SparkPRO rear coil output,SPARKPRO_CH2_OUT,TBD,X22_REAR_COIL,TBD,1.0_BASELINE,TBD,TBD,COIL_PRIMARY,IGNITION_OUTPUT,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Exact OEM connector pending physical ID
GND-005,IGNITION,SparkPRO power ground,SPARKPRO_GND,TBD,J-P02_OR_RELEASED_GROUND_POINT,TBD,1.0_BASELINE,TBD,TBD,ENGINE_CRITICAL_GROUND,IGNITION_GROUND,NA,NONE,NA,TBD,TBD,TBD,FROZEN,Keep separate from precision sensor ground
TRG-001,TRIGGER,CKP signal positive,X10_CKP,TBD,FT550_TRIGGER_IN,TBD,0.35_BASELINE,TBD,TBD,TRIGGER_SIGNAL,TRIGGER_PAIR,NA,TWIST_SHIELD_AS_RELEASED,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Polarity must be scope verified
TRG-002,TRIGGER,CKP signal return/complement,X10_CKP,TBD,FT550_TRIGGER_REF,TBD,0.35_BASELINE,TBD,TBD,TRIGGER_SIGNAL,TRIGGER_PAIR,NA,TWIST_SHIELD_AS_RELEASED,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,No high-current return sharing
TRG-003,TRIGGER,CAM signal if used,X11_CAM,TBD,FT550_CAM_IN,TBD,0.35_BASELINE,TBD,TBD,TRIGGER_SIGNAL,TRIGGER_CAM,NA,TWIST_SHIELD_AS_RELEASED,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,DNP if not used
CAN-001,CAN,CAN High FT550 to PMU,FT550_CAN,TBD,PMU16_CAN,TBD,0.35,TBD,TBD,DIFFERENTIAL_CAN,CAN_BACKBONE,NA,TWISTED_PAIR,NA,TBD,TBD,TBD,FROZEN,Linear backbone
CAN-002,CAN,CAN Low FT550 to PMU,FT550_CAN,TBD,PMU16_CAN,TBD,0.35,TBD,TBD,DIFFERENTIAL_CAN,CAN_BACKBONE,NA,TWISTED_PAIR,NA,TBD,TBD,TBD,FROZEN,Linear backbone
CAN-003,CAN,X51 CAN High service stub,CAN_BACKBONE,TBD,X51_CAV1,1,0.35,TBD,TBD,DIFFERENTIAL_CAN,CAN_SERVICE_STUB,NA,TWISTED_PAIR,NA,LE300,TBD,TBD,FROZEN,Target ~250mm max 300mm
CAN-004,CAN,X51 CAN Low service stub,CAN_BACKBONE,TBD,X51_CAV2,2,0.35,TBD,TBD,DIFFERENTIAL_CAN,CAN_SERVICE_STUB,NA,TWISTED_PAIR,NA,LE300,TBD,TBD,FROZEN,Target ~250mm max 300mm
SRV-001,SERVICE,X51 service ground,J-P02_OR_SERVICE_GROUND,TBD,X51_CAV3,3,0.75,TBD,TBD,SERVICE_GROUND,CAN_SERVICE_STUB,NA,NONE,NA,LE300,TBD,TBD,FROZEN,Diagnostic/reference only
SRV-002,SERVICE,X51 protected service 12V,J-P01_OR_SERVICE_PROTECTION,TBD,X51_CAV4,4,0.75,TBD,TBD,PROTECTED_SERVICE_POWER,CAN_SERVICE_STUB,TBD,NONE,NA,LE300,TBD,TBD,DFM_GATED,DNP if not required
CTL-001,TWO_STEP,PMU O11 relay coil command,PMU_O11,TBD,X70_RELAY_COIL,TBD,0.50_BASELINE,TBD,TBD,LOW_CURRENT_CONTROL,TWO_STEP,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,TE relay architecture frozen
GND-006,TWO_STEP,X70 relay coil return,X70_RELAY_COIL,TBD,J-P02_OR_RELEASED_CONTROL_GROUND,TBD,0.50_BASELINE,TBD,TBD,CONTROL_GROUND,TWO_STEP,NA,NONE,NA,TBD,TBD,TBD,FROZEN,Must match relay coil architecture
CTL-002,TWO_STEP,FT550 A21 dry-contact leg,FT550_A21,A21,X70_RELAY_NO,TBD,0.35_BASELINE,TBD,TBD,DRY_CONTACT_INPUT,TWO_STEP,NA,NONE,NA,TBD,TBD,TBD,FROZEN,No +12V permitted
GND-007,TWO_STEP,X70 dry-contact ground,X70_RELAY_COM,TBD,SIGNAL_GROUND_APPROVED_POINT,TBD,0.35_BASELINE,TBD,TBD,DRY_CONTACT_GROUND,TWO_STEP,NA,NONE,NA,TBD,TBD,TBD,FROZEN,Ground path must suit FT550 input architecture
SEN-001,SENSOR,TPS 5V reference,FT550_5V_REF,TBD,X12_TPS,TBD,0.35_BASELINE,TBD,TBD,PRECISION_REFERENCE,SENSOR_5V,NA,NONE,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Exact cavity pending connector ID
SEN-002,SENSOR,TPS sensor ground,FT550_SENSOR_GND,TBD,X12_TPS,TBD,0.35_BASELINE,TBD,TBD,PRECISION_GROUND,SENSOR_GROUND,NA,NONE,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Do not merge with power ground
SEN-003,SENSOR,TPS signal,X12_TPS,TBD,FT550_ANALOG_IN,TBD,0.35_BASELINE,TBD,TBD,ANALOG_SIGNAL,SENSOR_SIGNAL,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-004,SENSOR,MAP 5V reference,FT550_5V_REF,TBD,X13_MAP,TBD,0.35_BASELINE,TBD,TBD,PRECISION_REFERENCE,SENSOR_5V,NA,NONE,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-005,SENSOR,MAP sensor ground,FT550_SENSOR_GND,TBD,X13_MAP,TBD,0.35_BASELINE,TBD,TBD,PRECISION_GROUND,SENSOR_GROUND,NA,NONE,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-006,SENSOR,MAP signal,X13_MAP,TBD,FT550_ANALOG_IN,TBD,0.35_BASELINE,TBD,TBD,ANALOG_SIGNAL,SENSOR_SIGNAL,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-007,SENSOR,Engine temperature signal,X14_ENGINE_TEMP,TBD,FT550_ANALOG_IN,TBD,0.35_BASELINE,TBD,TBD,ANALOG_SIGNAL,SENSOR_SIGNAL,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Exact sensor type/cavity pending
SEN-008,SENSOR,Engine temperature return,X14_ENGINE_TEMP,TBD,FT550_SENSOR_GND_OR_RELEASED_REF,TBD,0.35_BASELINE,TBD,TBD,PRECISION_GROUND,SENSOR_GROUND,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-009,SENSOR,IAT signal,X15_IAT,TBD,FT550_ANALOG_IN,TBD,0.35_BASELINE,TBD,TBD,ANALOG_SIGNAL,SENSOR_SIGNAL,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-010,SENSOR,IAT return,X15_IAT,TBD,FT550_SENSOR_GND_OR_RELEASED_REF,TBD,0.35_BASELINE,TBD,TBD,PRECISION_GROUND,SENSOR_GROUND,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-011,SENSOR,VSS supply if required,FT550_OR_RELEASED_SUPPLY,TBD,X16_VSS,TBD,0.35_BASELINE,TBD,TBD,SENSOR_POWER,SENSOR_VSS,TBD,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Confirm OEM VSS architecture
SEN-012,SENSOR,VSS ground,X16_VSS,TBD,FT550_SENSOR_GND_OR_RELEASED_GROUND,TBD,0.35_BASELINE,TBD,TBD,SENSOR_GROUND,SENSOR_VSS,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SEN-013,SENSOR,VSS signal,X16_VSS,TBD,FT550_SPEED_INPUT,TBD,0.35_BASELINE,TBD,TBD,DIGITAL_SENSOR,SENSOR_VSS,NA,NONE,NA,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,TBD
SRV-003,SERVICE,X50 service ground,J-P02_OR_SERVICE_GROUND,TBD,X50,TBD,0.75_BASELINE,TBD,TBD,SERVICE_GROUND,X50_SERVICE,NA,NONE,NA,TBD,TBD,TBD,DFM_GATED,Not high-current return
SRV-004,SERVICE,X50 protected service 12V,J-P01_OR_SERVICE_PROTECTION,TBD,X50,TBD,0.75_BASELINE,TBD,TBD,PROTECTED_SERVICE_POWER,X50_SERVICE,TBD,NONE,NA,TBD,TBD,TBD,DFM_GATED,DNP if unnecessary
SRV-005,SERVICE,X50 spare digital input,X50,TBD,FT550_OR_PMU_SPARE_INPUT,TBD,0.35_BASELINE,TBD,TBD,DIGITAL_SIGNAL,X50_SERVICE,NA,NONE,NA,TBD,TBD,TBD,DFM_GATED,DNP until assigned
SRV-006,SERVICE,X50 spare control output,FT550_OR_PMU_SPARE_OUTPUT,TBD,X50,TBD,0.50_BASELINE,TBD,TBD,LOW_CURRENT_CONTROL,X50_SERVICE,TBD,NONE,NA,TBD,TBD,TBD,DFM_GATED,DNP until assigned
SRV-007,SERVICE,X50 spare analogue input,X50,TBD,FT550_ANALOG_SPARE,TBD,0.35_BASELINE,TBD,TBD,ANALOG_SIGNAL,X50_SERVICE,NA,NONE,NA,TBD,TBD,TBD,DFM_GATED,DNP until assigned
SPARE-001,EXPANSION,Future sensor signal,TBD,TBD,X50_OR_FUTURE_INTERFACE,TBD,0.35_BASELINE,TBD,TBD,SPARE_SIGNAL,EXPANSION,NA,NONE,NA,TBD,TBD,TBD,DNP,Populate only by controlled revision
SPARE-002,EXPANSION,Future sensor reference,TBD,TBD,X50_OR_FUTURE_INTERFACE,TBD,0.35_BASELINE,TBD,TBD,PRECISION_REFERENCE,EXPANSION,NA,NONE,NA,TBD,TBD,TBD,DNP,Do not merge with power ground
