connection_id,harness_id,function,from_endpoint,from_cavity,to_endpoint,to_cavity,wire_type_id,branch_id,splice_or_intermediate,release_state,notes
IGN-003,H-IGN,SparkPRO front coil output,SPARKPRO,6,X21,TBD,W100,B34,,FROZEN,Exact OEM coil cavity pending physical ID
IGN-004,H-IGN,SparkPRO rear coil output,SPARKPRO,4,X22,TBD,W100,B34,,FROZEN,Exact OEM coil cavity pending physical ID
GND-005,H-IGN,SparkPRO power ground,SPARKPRO,2_AND_5,J-P02,TBD,W100,B33,,FROZEN,Keep separate from precision sensor ground
TRG-001,H-SENS,CKP signal positive,X10,TBD,FT550-A,A19,CKP035,B02,,PHYSICAL_ID_REQUIRED,Working FT reference; scope polarity verify
TRG-002,H-SENS,CKP signal return/complement,X10,TBD,FT550-A,A18,CKP035,B02,,PHYSICAL_ID_REQUIRED,No high-current return sharing
TRG-003,H-SENS,CAM signal if used,X11,TBD,FT550_CAM_IN,TBD,CKP035,CAM_BRANCH,,PHYSICAL_ID_REQUIRED,DNP if CAM not used
CAN-001,H-CAN,CAN High FT550 to PMU,FT550-A,A16,PMU16,24,CAN035,B14,,FROZEN,1 Mbps linear backbone
CAN-002,H-CAN,CAN Low FT550 to PMU,FT550-A,A15,PMU16,37,CAN035,B14,,FROZEN,1 Mbps linear backbone
CAN-003,H-CAN,X51 CAN High service stub,CAN_BACKBONE_H,TBD,X51,1,CAN035,X51_STUB,S-CAN-01,FROZEN,Target ~250mm max 300mm
CAN-004,H-CAN,X51 CAN Low service stub,CAN_BACKBONE_L,TBD,X51,2,CAN035,X51_STUB,S-CAN-01,FROZEN,Target ~250mm max 300mm
SRV-001,H-CAN,X51 service ground,J-P02_OR_SERVICE_GROUND,TBD,X51,3,SERVICE075,X51_STUB,,FROZEN,Diagnostic/reference only
SRV-002,H-CAN,X51 protected service 12V,J-P01_OR_SERVICE_PROTECTION,TBD,X51,4,SERVICE075,X51_STUB,S-SVC-01,DFM_GATED,DNP if not required
CTL-001,H-2STEP,PMU O11 relay coil command,PMU16,3,X70,COIL_A,W050,B43,,FROZEN,TE relay architecture frozen
GND-006,H-2STEP,X70 relay coil return,X70,COIL_B,J-P02_OR_RELEASED_CONTROL_GROUND,TBD,W050,B43,,FROZEN,Match relay coil architecture
CTL-002,H-2STEP,FT550 A21 dry-contact leg,X70,NO,FT550-A,A21,W035,B44,,FROZEN,No +12V permitted
GND-007,H-2STEP,X70 dry-contact ground,SIGNAL_GROUND_APPROVED_POINT,TBD,X70,COM,W035,B44,,FROZEN,Signal-compatible ground path
SEN-001,H-SENS,TPS 5V reference,FT550_5V_REF,TBD,X12,TBD,SENSOR035,B03,S-SENS-01,PHYSICAL_ID_REQUIRED,Exact cavity pending connector ID
SEN-002,H-SENS,TPS sensor ground,FT550_SENSOR_GND,TBD,X12,TBD,SENSOR035,B03,S-SENS-02,PHYSICAL_ID_REQUIRED,Do not merge with power ground
SEN-003,H-SENS,TPS signal,X12,TBD,FT550_ANALOG_IN,TBD,SENSOR035,B03,,PHYSICAL_ID_REQUIRED,TPS input cavity verify
SEN-004,H-SENS,MAP 5V reference,FT550_5V_REF,TBD,X13,TBD,SENSOR035,B04,S-SENS-01,PHYSICAL_ID_REQUIRED,Exact cavity pending connector ID
SEN-005,H-SENS,MAP sensor ground,FT550_SENSOR_GND,TBD,X13,TBD,SENSOR035,B04,S-SENS-02,PHYSICAL_ID_REQUIRED,Do not merge with power ground
SEN-006,H-SENS,MAP signal,X13,TBD,FT550_ANALOG_IN,TBD,SENSOR035,B04,,PHYSICAL_ID_REQUIRED,MAP input cavity verify
SEN-007,H-SENS,Engine temperature signal,X14,TBD,FT550_ANALOG_IN,TBD,SENSOR035,B05,,PHYSICAL_ID_REQUIRED,Exact sensor topology/cavity verify
SEN-008,H-SENS,Engine temperature return,X14,TBD,FT550_SENSOR_GND_OR_RELEASED_REF,TBD,SENSOR035,B05,S-SENS-02,PHYSICAL_ID_REQUIRED,Precision return
SEN-009,H-SENS,IAT signal,X15,TBD,FT550_ANALOG_IN,TBD,SENSOR035,B06,,PHYSICAL_ID_REQUIRED,Working FT reference B5 but cavity verify
SEN-010,H-SENS,IAT return,X15,TBD,FT550_SENSOR_GND_OR_RELEASED_REF,TBD,SENSOR035,B06,S-SENS-02,PHYSICAL_ID_REQUIRED,Precision return
SEN-011,H-SENS,VSS supply if required,FT550_OR_RELEASED_SUPPLY,TBD,X16,TBD,SENSOR035,B07,,PHYSICAL_ID_REQUIRED,Confirm OEM VSS architecture
SEN-012,H-SENS,VSS ground,X16,TBD,FT550_SENSOR_GND_OR_RELEASED_GROUND,TBD,SENSOR035,B07,S-SENS-02,PHYSICAL_ID_REQUIRED,Confirm OEM VSS architecture
SEN-013,H-SENS,VSS signal,X16,TBD,FT550_SPEED_INPUT,TBD,SENSOR035,B07,,PHYSICAL_ID_REQUIRED,Speed input cavity verify
SRV-003,H-X50,X50 service ground,J-P02_OR_SERVICE_GROUND,TBD,X50,TBD,SERVICE075,B13,,DFM_GATED,Not high-current return
SRV-004,H-X50,X50 protected service 12V,J-P01_OR_SERVICE_PROTECTION,TBD,X50,TBD,SERVICE075,B13,S-SVC-01,DFM_GATED,DNP if unnecessary
SRV-005,H-X50,X50 spare digital input,X50,TBD,FT550_OR_PMU_SPARE_INPUT,TBD,W035,B13,,DFM_GATED,DNP until assigned
SRV-006,H-X50,X50 spare control output,FT550_OR_PMU_SPARE_OUTPUT,TBD,X50,TBD,W050,B13,,DFM_GATED,DNP until assigned
SRV-007,H-X50,X50 spare analogue input,X50,TBD,FT550_ANALOG_SPARE,TBD,W035,B13,,DFM_GATED,DNP until assigned
SPARE-001,H-X50,Future sensor signal,TBD,TBD,X50_OR_FUTURE_INTERFACE,TBD,SENSOR035,B20-B31,,DNP,Populate only by controlled revision
SPARE-002,H-X50,Future sensor reference,TBD,TBD,X50_OR_FUTURE_INTERFACE,TBD,SENSOR035,B20-B31,,DNP,Do not merge with power ground
