Stage,Check_ID,System,Requirement_or_Measurement,Expected_or_Source,Measured_or_Observed,Units,State,Evidence,Abort_If_Failed,Retest_Required,Technician,Date,Notes
FS4,FS4-03,FUEL,Fuel pressure,Within verified safe requirement,TBD,kPa_or_bar,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS4,FS4-04,WIDEBAND,AFR validity,Sensor valid/no confirmed unsafe mixture,TBD,lambda_or_AFR,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS4,FS4-05,PMU,Fault/trip state,No unexplained trip/current-limit event,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS5,FS5-01,ENGINE,Early warm-up data,Logged at controlled intervals,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,Use separate time-series log
FS5,FS5-02,TEMP,Engine/coolant temperature trend,Controlled/plausible,TBD,C,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS5,FS5-03,IAT,IAT trend,Plausible,TBD,C,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS5,FS5-04,MAP,MAP at no-load,Plausible,TBD,kPa,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS6,FS6-01,B11,Radiator fan function,Command/operation matches strategy,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS6,FS6-02,B12,Charge cooler pump function,Correct if fitted or DNP,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS6,FS6-03,COOLING,Cooling leaks,None,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS7,FS7-01,THERMAL,B15/J-P01/J-P02,No abnormal heating/distress,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS7,FS7-02,THERMAL,B39/B40/PMU,No abnormal heating/distress,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS7,FS7-03,THERMAL,Pump paths,No abnormal heating/distress,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS7,FS7-04,THERMAL,Harness near turbo/exhaust,No thermal damage/chafe/movement,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS8,FS8-01,DATA,First-start log saved,Original log retained before calibration changes,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS8,FS8-02,DATA,Trigger/cranking review,No unexplained trigger/sync issue,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS8,FS8-03,DATA,Pressure/AFR/temperature review,Trends reviewed against verified requirements,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
FS8,FS8-04,DATA,PMU review,No unexplained faults/trips,TBD,NA,OPEN,TBD,YES,YES,TBD,TBD,TBD
RELEASE,FSR-01,OVERALL,FS0 through FS8 complete,All applicable checks PASS,TBD,NA,NOT_RELEASED,TBD,YES,YES,TBD,TBD,FIRST_START_COMMISSIONING_ACCEPTED only after engineering review
